Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
52682063,Karma,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,51 1 Avenue,,Manhattan,10003,40.724727388482,-73.987390730939,,You can find free safer sex products inside a fishbowl located in the back near the restroom of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,1:00 PM - 4:00 AM,1:00 PM - 4:00 AM,true,true,true,,,103,2,3800,1006182,1004450036,MN22
52682070,Kundalin Ink (Formerly Omega Tattoos),Free Safer Sex Products,Condoms and Lubricant,,Business,Tattoo Parlor,81-09 Roosevelt Avenue,,Queens,11372,40.747555957239,-73.884665768248,,You can find free safer sex products inside a dispenser located near the counter of the Tattoo Parlor. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,403,21,28300,4030023,4012920045,QN28
52682200,Stonewall Inn,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,53 Christopher Street,,Manhattan,10014,40.73371991395,-74.002125283435,,You can find free safer sex products inside a fishbowl located in the back near the restroom of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,102,3,7300,1082221,1006100001,MN23
52681945,Commonwealth,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,497 5 Avenue,,Brooklyn,11215,40.667271122189,-73.987870243252,212-757-0788,You can find free safer sex products inside a fishbowl located on the right near door of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,3:00 PM - 4:00 AM,2:00 PM - 4:00 AM,2:00 PM - 4:00 AM,true,false,true,,,306,39,13900,3337712,3010290010,BK37
52682127,Nortena Express,Free Safer Sex Products,Condoms and Lubricant,,Business,Taxi/Car Service,507 Coney Island Avenue,,Brooklyn,11218,40.645430519536,-73.970566627423,,You can find free safer sex products inside a fishbowl located in the front of the Car Service. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,314,40,152200,3117426,3051120029,BK42
52682056,Isabella Unisex Salon (Formerly Samuel Bishop/Jarissa Unisex Salon),Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,556 West 142 Street,,Manhattan,10031,40.82405570511,-73.950806164716,,You can find free safer sex products inside a fishbowl located in the front of the Barbershop. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,false,false,false,,,109,7,22500,1061825,1020730061,MN04
52682199,Starliner,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,1446 Myrtle Avenue,,Brooklyn,11237,40.69894652159,-73.91687242656,,You can find free safer sex products in a fishbowl of this bar/lounge. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,304,37,43300,3075688,3033080018,BK77
52682058,Jamaica YMCA,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,YMCA/JCC,89-25 Parsons Boulevard,,Queens,11432,40.705463603786,-73.801469567739,212-353-9500,You can find free safer sex products inside a dispenser located on the 4th fl of the YMCA/JCC. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,6:30 AM - 8:00 PM,8:00 AM - 8:00 PM,true,true,true,,,412,24,44601,4208858,4097580001,QN61
52682073,La Pulperia HK,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,371 West 46 Street,,Manhattan,10036,40.760571479067,-73.989762745281,212-281-6088,You can find free safer sex products inside a fishbowl located in the front of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,,,4:00 PM - 11:00 PM,true,true,true,,,104,3,12700,1025078,1010370102,MN15
52682246,Wellness Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Business,Pharmacy,217 Kings Highway,,Brooklyn,11223,40.605537674477,-73.983451858501,718-232-8277,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 4:00 PM,,true,false,true,,,311,44,42800,3175349,3066210042,BK29
52682004,"First Medical Center, Doo Park, MD",Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"40-44 82 Street,n/a",,Queens,11373,40.746451620652,-73.883732959957,718-429-3800,Free safer sex products available at First Medical Center where we also diagnose and treat all STIs (sexually transmitted infections) with rapid and effective treatment confidentially. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,4:00 PM - 7:00 PM,4:00 PM - 7:00 PM,5:00 PM - 7:00 PM,4:00 PM - 7:00 PM,4:00 PM - 7:00 PM,10:00 AM - 3:00 PM,,true,true,true,,<a href=www.stdclinicnyc.com>Visit this organization's website</a>,404,25,26901,4036882,4014920028,QN29
52681890,Best AID Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Business,Pharmacy,563 East Tremont Avenue,,Bronx,10457,40.846502987391,-73.894812762505,,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,,true,true,true,,,206,15,37504,2011828,2030600050,BX17
52682016,Hair Matic's Salon,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,330 Audubon Avenue,,Manhattan,10033,40.849042513098,-73.932118350965,212-807-0486,"You can find free safer sex products inside a dispenser/fishbowl located fishbowl in the front, dispenser in the back of the Beauty Salon. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.",19000101000000.000000000,19000101000000.000000000,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,9:00 AM - 7:30 PM,10:00 AM - 5:30 PM,true,false,false,,,112,10,26900,1063647,1021540019,MN35
52681932,Chelsea Exclusive,Free Safer Sex Products,Condoms and Lubricant,,Business,Retail Store,222 8 Avenue,,Manhattan,10011,40.744235119757,-73.999234921095,,You can find free safer sex products in a fishbowl at this clothing store. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,104,3,8700,1014060,1007710001,MN13
52682185,Rise Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,859 9 Avenue,,Manhattan,10019,40.767100897914,-73.986314085955,,You can find free safer sex products inside a fishbowl on the bar at the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,104,3,13900,1026849,1010650036,MN15
52681988,D'Yoryi Hair Salon (Formerly  C&F),Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1895 Adam Clayton Powell Jr Boulevard,,Manhattan,0,0,0,,You can find free safer sex products inside a dispenser located in the front of the salon of the Beauty Salon. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,1,
52681901,Boriken Neighborhood Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"2265 3 Avenue,Basement",,Manhattan,10035,40.80248058481,-73.936688283957,(212) 289-6650,You can find free safer sex products inside a dispenser/ fishbowls located all around the center of the Community Health Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,8:00 AM - 6:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 4:00 PM,,true,true,false,,<a href=www.boriken.org>Visit this organization's website</a>,111,8,19400,1054630,1017880001,MN34
52681914,BronxCare Dr. Martin Luther King Jr. Health Center,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Other,"1265 Franklin Avenue,3rd Floor",,Bronx,10456,40.831018630124,-73.902696895682,718-503-7733,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM,9:00 AM - 3:00 PM,,true,true,true,,,203,16,14900,2004246,2026120007,BX35
52682108,Miti Miti,Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,138 5 Avenue,,Brooklyn,11217,40.678671631242,-73.978941435929,212-307-1503,You can find free safer sex products inside a fishbowl located by the bar of the Restaurant. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 11:30 PM,true,true,true,,,306,39,13100,3019165,3009430043,BK37
52682207,The Blue Chelsea,Free Safer Sex Products,Condoms and Lubricant,,Business,Sex Store,208 8 Avenue,,Manhattan,10011,40.743754788158,-73.999584983787,,You can find free safer sex products inside a fishbowl located at the cash register of the Sex Store. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,104,3,8700,1014059,1007700076,MN13
52681956,Corona Barber Shop Plus,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,94-17 37 Avenue,,Queens,11372,40.750955289735,-73.87291902948,,You can find free safer sex products inside a dispenser located near the entrance on the right of the Barbershop. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,false,false,,,403,21,27300,4036171,4014680036,QN28
52682240,Up and Down,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,244 West 14 Street,,Manhattan,10011,40.739094177137,-74.001006794721,212-316-8400,You can find free safer sex products inside a fishbowl located inside of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,11:00 PM - 4:00 AM,,11:00 PM - 4:00 AM,11:00 PM - 4:00 AM,11:00 PM - 4:00 AM,,true,false,false,,,102,3,7700,1011099,1006180010,MN23
52681918,Brooklyn NP,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"210 Montrose Avenue,1st floor",,Brooklyn,11206,40.707547015158,-73.940793243032,7184171117,In addition to free safer sex products this location can offer vegan primary care. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,true,true,,,301,34,49300,3071238,3030630007,BK78
52681967,Dave's Tavern,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,574 9 Avenue,,Manhattan,10036,40.758202981887,-73.992780755088,,You can find free safer sex products inside a dispenser / fishbowl located fishbowl in the front of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,true,true,true,,,104,3,11500,1024930,1010320063,MN15
52681947,Community Health Action of Staten Island- Community Food Pantry,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"2134 Richmond Terrace,n/a",,Staten Island,10302,40.640277886003,-74.134165901656,(718) 808-1840,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,,10:00 AM - 2:00 PM,12:00 PM - 4:00 PM,,2:00 PM - 6:00 PM,10:00 AM - 2:00 PM,,true,true,true,,<a href=http://chasiny.org>Visit this organization's website</a>,501,49,20700,5025309,5010740053,SI28
52681885,Barrage,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,401 West 47 Street,,Manhattan,10036,40.76178748975,-73.990737208379,347-726-6010,You can find free safer sex products inside a fishbowl located back by the restroom of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,19000101000000.000000000,19000101000000.000000000,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 2:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 2:00 AM,true,false,true,,,104,3,12700,1026567,1010570029,MN15
